x-pack/test/monitoring_api_integration/archives/apm/metricbeat,NaN,Infinity,-Infinity,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/apm/package,3.1,3.1,3.1,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/beats/metricbeat,NaN,Infinity,-Infinity,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/beats/package,0.9,0.9,0.9,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/elasticsearch/metricbeat,NaN,Infinity,-Infinity,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/elasticsearch/package,NaN,Infinity,-Infinity,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/enterprisesearch/metricbeat,NaN,Infinity,-Infinity,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/enterprisesearch/package,2.5,2.5,2.5,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/kibana/single_node/metricbeat,NaN,Infinity,-Infinity,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/kibana/single_node/package,2.5,2.5,2.5,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/logstash/single_node/metricbeat,NaN,Infinity,-Infinity,serverless,4,5000
x-pack/test/monitoring_api_integration/archives/logstash/single_node/package,2.5,2.5,2.5,serverless,4,5000
