x-pack/test/functional/es_archives/uptime/blank,0.3,0.3,0.3,local,0,300
x-pack/test/functional/es_archives/visualize/default,0.1,0.0,0.3,local,0,300
x-pack/test/saved_object_tagging/common/fixtures/es_archiver/logstash_functional,4.6,4.6,4.6,local,0,300
x-pack/test/monitoring_api_integration/archives/apm/metricbeat,NaN,Infinity,-Infinity,local,0,300
x-pack/test/monitoring_api_integration/archives/apm/package,1.1,1.1,1.1,local,0,300
x-pack/test/monitoring_api_integration/archives/beats/metricbeat,NaN,Infinity,-Infinity,local,0,300
x-pack/test/monitoring_api_integration/archives/beats/package,0.1,0.1,0.1,local,0,300
x-pack/test/monitoring_api_integration/archives/elasticsearch/metricbeat,NaN,Infinity,-Infinity,local,0,300
x-pack/test/monitoring_api_integration/archives/elasticsearch/package,NaN,Infinity,-Infinity,local,0,300
x-pack/test/monitoring_api_integration/archives/enterprisesearch/metricbeat,NaN,Infinity,-Infinity,local,0,300
x-pack/test/monitoring_api_integration/archives/enterprisesearch/package,1.0,1.0,1.0,local,0,300
x-pack/test/monitoring_api_integration/archives/kibana/single_node/metricbeat,NaN,Infinity,-Infinity,local,0,300
x-pack/test/monitoring_api_integration/archives/kibana/single_node/package,1.9,1.9,1.9,local,0,300
x-pack/test/monitoring_api_integration/archives/logstash/single_node/metricbeat,NaN,Infinity,-Infinity,local,0,300
x-pack/test/monitoring_api_integration/archives/logstash/single_node/package,1.1,1.1,1.1,local,0,300
test/functional/fixtures/es_archiver/dashboard/current/data,6.7,6.4,6.9,local,4,5000
test/functional/fixtures/es_archiver/saved_objects_management/export_exclusion,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/saved_objects_management/export_transform,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/saved_objects_management/hidden_from_http_apis,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/saved_objects_management/hidden_saved_objects,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/saved_objects_management/hidden_types,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/saved_objects_management/nested_export_transform,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/saved_objects_management/visible_in_management,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/search/downsampled,1.2,1.1,1.2,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/8.0.0,5.2,4.9,5.3,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/apm_8.0.0,4.5,4.4,4.6,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/apm_mappings_only_8.0.0,2.0,2.0,2.0,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/infra_metrics_and_apm,4.3,4.2,4.3,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/metrics_8.0.0,0.5,0.5,0.6,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/ml_8.0.0,8.2,8.0,8.5,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/observability_overview,0.3,0.2,0.3,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/rum_8.0.0,0.9,0.8,0.9,local,4,5000
x-pack/test/apm_api_integration/common/fixtures/es_archiver/rum_test_data,1.1,1.1,1.2,local,4,5000
test/functional/fixtures/es_archiver/alias,6.6,6.4,6.7,local,4,5000
test/functional/fixtures/es_archiver/date_nanos,0.3,0.3,0.4,local,4,5000
test/functional/fixtures/es_archiver/date_nanos_custom,0.3,0.3,0.3,local,4,5000
test/functional/fixtures/es_archiver/date_nanos_mixed,0.5,0.5,0.5,local,4,5000
test/functional/fixtures/es_archiver/date_nested,0.2,0.2,0.3,local,4,5000
test/functional/fixtures/es_archiver/deprecations_service,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/hamlet,0.7,0.7,0.8,local,4,5000
test/functional/fixtures/es_archiver/huge_fields,1.2,1.1,1.3,local,4,5000
test/functional/fixtures/es_archiver/index_pattern_without_timefield,0.9,0.8,1.0,local,4,5000
test/functional/fixtures/es_archiver/kibana_sample_data_flights,0.9,0.8,0.9,local,4,5000
test/functional/fixtures/es_archiver/kibana_sample_data_flights_index_pattern,NaN,Infinity,-Infinity,local,4,5000
test/functional/fixtures/es_archiver/kibana_sample_data_logs_tsdb,1.4,1.3,1.6,local,4,5000
test/functional/fixtures/es_archiver/large_fields,1.1,1.0,1.2,local,4,5000
test/functional/fixtures/es_archiver/logstash_functional,3.1,2.8,3.8,local,4,5000
test/functional/fixtures/es_archiver/long_window_logstash,3.2,3.1,3.2,local,4,5000
test/functional/fixtures/es_archiver/makelogs,0.7,0.6,0.8,local,4,5000
